,chords,view,star,date,url,text
Волчица,"['Am', 'Dm', 'F', 'C', 'E', 'E7']",20685,49,25.01.2016,https://amdm.ru/akkordi/knyazz/133129/volchica/,"['Intro:', '|', '}x2', 'Хоть местные жители в страхе молчат,', 'Тайну узнал я про древний обряд', 'И про властителей этих земель,', 'Тех, в ком есть сила зверей.', 'Вой в полнолуние - тревожный знак.', 'Волчья тропа уходила в овраг.', 'Шёл без двустволки я и без огня.', 'Стая встречала меня.', 'Припев:', 'Слышишь, ветер плачет словно,', 'Видишь, тучи на луне.', 'Сгинешь ли во мгле безмолвно,', 'Выйдешь ли на встречу мне,', 'Мне', 'Твоя любовь - вызов смерти волкам.', 'Повод не нужен, чтоб к глотке врагам.', 'Драть только и надо мной взяла власть', 'В полночь животная страсть.', 'Все эти годы ведомый судьбой,', 'По зову крови я шёл за тобой.', 'И тогда ближе мне стала земля,', 'Стая признала меня.', 'Припев:', 'Слышишь, ветер плачет словно,', 'Видишь, тучи на луне.', 'Сгинешь ли во мгле безмолвно,', 'Выйдешь ли на встречу мне,', 'Мне', 'Слышишь, ветер плачет словно,', 'Видишь, тучи на луне.', 'Сгинешь ли во мгле безмолвно,', 'Выйдешь ли на встречу мне,', 'Мне']"
Голос Лешего,"['Dm', 'Am', 'G6', 'C5', 'F7']",1593,1,25.08.2020,https://amdm.ru/akkordi/knyazz/177499/golos_leshego/,"['[Вступление]:', 'x2', '[Куплет 1]:', 'Тёмный лес — мои хоромы!', 'Жил от мира я вдали.', 'Уводили в буреломы', 'Тропы тайные мои,', 'По которым даже зверь', 'Дикий не пойдёт.', 'В этих дебрях, верь — не верь,', 'Голос мой живёт..', 'Голос мой живёт...', '[Куплет 2]:', 'Он гуляет   в тишине,', 'То поёт, то волком воет,', 'Его слушать вечно мне', 'Послано судьбой. Но стоит', 'Попытаться убежать', 'От него, тотчас', 'Оставляет он меня,', 'Настигая вас.', 'Настигая вас..', 'Настигая вааас..']"
Голос темной долины,"['Bm', 'G', 'Em', 'F#', 'Bm/D', 'Bm/E', 'Bm/F#', 'Em7/D', 'A', 'Em/D']",14161,22,03.06.2016,https://amdm.ru/akkordi/knyazz/142245/golos_temnoy_dolini/,"['Одиночества бремя приняв,', 'В ночи пропадала.', 'И гитару свою в руки взяв,', 'Что-то играла...', 'Концерты  мечтала  давать,', 'Но все не просто,', 'И песни  писала', 'В близи погоста', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...', '}x3', 'Старый клуб доживал свои дни', 'В темной долине...', 'В нем покой гробовой берегли', 'Стены, а ныне', 'Все чаще с развалин', 'Приносит ветер звуки,', 'В них голос бескрайней', 'Вселенской муки', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...', '}x2', '}x3', 'Месяц в ужасе в небе застыл,', 'Туман опустился,', 'Ей хотелось чтоб слушатель был...', 'И он появился', 'Страх сердце ей гложет,', 'Глаза поднять боится,', 'Посмотреть она не может', 'На эти лица', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...']"
Голос тёмной долины,"['Bm', 'G', 'Em', 'F#', 'A']",553,3,03.07.2022,https://amdm.ru/akkordi/knyazz/193730/golos_tyomnoi_doliny/,"['|', '|', '|', '|', '| 2 раза', '|', '|', '| 3 раза', '|', 'Одиночества бремя приняв,', 'В ночи пропадала.', 'И гитару свою в руки взяв,', 'Что-то играла...', 'Концерты мечтала,', 'Давать но все не просто,', 'И песни писала', 'В близи погоста', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...', '|', '|', '| 3 раза', '|', 'Старый клуб доживал свои дни', 'В темной долине...', 'В нем покой гробовой берегли', 'Стены, а ныне', 'Все чаще с развалин', 'Приносит ветер звуки,', 'В них голос бескрайней', 'Вселенской муки', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...', '|', '|', '|', '|', '| 2 раза', '|', '|', '| 3 раза', '|', 'Месяц в ужасе в небе застыл,', 'Туман опустился,', 'Ей хотелось чтоб слушатель был...', 'И он появился', 'Страх сердце ей гложет,', 'Глаза поднять боится,', 'Посмотреть она не может', 'На эти лица', 'Не звучат во мгле аплодисменты,', 'Мрачный зритель застыл не шевелясь,', 'Кто приходит на ее концерты?', 'С мертвым залом обретает она связь...']"
Горгона,"['Dm', 'Gm', 'A#', 'F', 'D#', 'Cm', 'D']",4169,2,25.04.2015,https://amdm.ru/akkordi/knyazz/112602/gorgona/,"['Кто сближался с тобой, исчезли все, как один,', 'Словно сгинули в бездну черной дыры.', 'Вспоминая тебя, я всем сочувствовал им,', 'Просто так не уходят из этой игры.', 'Припев:', 'Кто ты есть, ответь, Какая тайна', 'В твоем сердце, ведь Всё неслучайно,', 'Что за роль в твоей игре досталась мне?', 'Вновь смятение душу одолело,', 'С человеком ли имею дело?', 'Мир реальным кажется вполне.', 'Я у смерти в долгу, и будь я тысячу раз', 'Проклят, если не сам избрал этот путь.', 'Демонический блеск грозящих гибелью глаз', 'Раскрывает души твоей страшную суть.', 'В старом парке дремлют изваяния,', 'Как о злой судьбе напоминания,', 'Тех, кто гнев познал твой на себе.', 'Силу древних чар скрывали веки,', 'О тебе слагали мифы греки,', 'Что ты ищешь в северной стране?', 'Промелькнет тень в окне,', 'Ждет во мгле древнее создание.', 'Сквозь туман шепчет мне:', '«Отдохни от вечного скитания!»']"
Граф Калиостро,"['Bm', 'E', 'A', 'G', 'C', 'Em', 'B7', 'F#m', 'C#m', 'D']",4548,4,18.08.2015,https://amdm.ru/akkordi/knyazz/121265/graf_kaliostro/,"['Каподастр на 3 лад', 'Дождём холодным встречал', 'Вас Петербургский причал.', 'Увы не так хорошо в Европе нынче шли дела', 'Обетованной землёй Россия стать для вас могла', 'Народ здесь не искушён и простоват', 'Любому вашему трюку будет рад', 'Сам Бог велел оставаться здесь', 'Но всё пошло не так', 'Дорогу императрице перешёл великий маг', 'Да вы волшебник,   вы граф волшебник', 'Крутой волшебник   и чародей', 'Уникальный талант все о вас говорят', 'Вы не мошенник нет не мошенник', 'Хоть и надули толпу людей', 'За чудеса тот час', 'Способен заплатить любой из нас', 'Живёте в мире интриг', 'На вас богатый парик', 'И достижения цели сладок миг', 'Обратно в Рим', 'Приезжали вы чтоб вернуться', 'К прежним замыслам своим', 'Бывают в жизни дела к которым путь', 'Обратный лучше забыть с тропы свернуть', 'Конечно стоило вам унять азарт и лечь на дно', 'Ведь инквизиция граф на вас охотиться давно', 'Да вы волшебник, вы граф волшебник', 'Крутой волшебник и чародей', 'Уникальный талант все о вас говорят', 'Вы не мошенник нет не мошенник', 'Хоть и надули толпу людей', 'За чудеса тот час', 'Способен заплатить любой из нас']"
Гримёр,"['Dsus2', 'Dm', 'Gm', 'A', 'A#', 'F', 'E', 'Am', 'G', 'C']",4769,3,03.10.2015,https://amdm.ru/akkordi/knyazz/124683/grimyor/,"['Примечание:', 'Столь обаятельный гример,', 'Откуда прибыл он?', 'Искусен этот малый и чертовски одарён.', 'Он, каждый образ видит, так как будто в корень зрит,', 'В своём фургоне расписном он чудеса творит,', 'Но что-то вдруг в его глазах недоброе подчас', 'Мелькнёт, и пристально гримёр уставиться на вас.', 'В своих фантазиях порой он дерзок, изощрён.', 'Последний штрих и сам собой безумец восхищён.', 'Вступление:', 'Месть особый смысл в ней есть.', 'Честь, когда задета честь, честь.', 'Тем, кто не увидел в этом мастере грима дар актёра, грош им цена.', 'За это всё получит скоро сполна, они получат сполна.', 'Бред, решение их бред, бред.', 'Как, они могли сказать нет.', 'Стерпит ли унижение, тот, кто достоин главной роли?', 'Он не из таких.', 'Лучших актёров у театра отнять он жаждет вскоре.', 'Вот что ждёт их.', 'Припев', 'Может свою роль он и переиграл,', 'Но делал всё с душой.', 'У зала интерес он вызвал бы большой,', 'Но видеть не хотят в упор его талант.', 'Грим, какой отличный грим, грим.', 'Хоть, он в чём-то угодил им.', 'Только продлится эта радость не долго,', 'Мастер знает, чем всё обернётся потом.', 'Грим лицедея смыть к несчастью, возможно, будет только,', 'Лишь вместе с лицом.', 'Может свою роль он и переиграл,', 'Но делал всё с душой.', 'У зала интерес он вызвал бы большой,', 'Но видеть не хотят в упор его талант.', 'Может свою роль он и переиграл,', 'Но делал всё с душой.', 'У зала интерес он вызвал бы большой,', 'Но видеть не хотят в упор его талант.', 'Встречали вы когда-нибудь актёра без лица?', 'Что над собою как в бреду хохочет без конца.', 'От того зрелища бегут мурашки по спине', 'Уродство это он обрёл не по своей вине.']"
Дежавю,"['Cm', 'A#', 'Fm', 'D#', 'G#']",10814,6,05.11.2015,https://amdm.ru/akkordi/knyazz/127183/dezhavy/,"['Intro:', 'Кажется мне, братцы, что подчас', 'Обстоятельства сильнее нас.', 'Глупо полагал, что о себе я знаю всё,', 'Думал, будто ясно помню прошлое своё.', 'Эх, Эльвира, нам с тобой пора', 'Осознать, что кончилась игра.', 'Двум безумцам иногда совсем не по пути', 'К этому однажды мы должны были прийти.', 'Припев:', 'Мои мысли в воздухе зависли', 'Показалось мне, что я давно с тобой знаком.', 'И отныне душу мою грызли,', 'Подозрения в памяти есть, что то по замком', 'Гладко было всё лишь до поры.', 'Вскоре стали рушиться миры.', 'Два огня свиснувшись могут всё вокруг спалить.', 'Стёрли память, чтоб друг друга больше не любить.', 'Припев:', 'Мои мысли в воздухе зависли', 'Показалось мне, что я давно с тобой знаком.', 'И отныне душу мою грызли,', 'Подозрения в памяти есть, что то по замком', 'Глаза знакомые до слёз.', 'Ты словно дуновенье грёз.', '|', '|', '|', 'Нам нужно было разминуться, не влюбиться, -', 'Снова не попасться в западню.', 'А на небе Ангелы смеются, посылая встречи', 'Нам из сотней дежавю.', 'Глаза знакомые до слёз.', 'Ты словно дуновенье грёз.']"
Дезертир,"['Em', 'Am', 'G', 'C', 'B7', 'D']",11281,24,25.04.2015,https://amdm.ru/akkordi/knyazz/112633/dezertir/,"['Вступление:', 'Тысячи ран в сердце моём', 'Ноют они ночью и днём.', 'Здесь, на земле, был желанным едва ли,', 'И на небе не признали.', 'Хуже судьбы не придумать, друзья -', 'В теле безжизненном прячусь я,', 'Острая сталь не берёт и свинец.', 'Кто я такой: человек - мертвец!', 'Враг где-то рядом, держали мы мост,', 'Но я в ночи свой оставил пост -', 'Вихрем к любимой бежал в село,', 'С ней не заметил, как рассвело.', 'Француза на утро вовсю наши били,', 'Только меня они не разбудили,', 'Была обагрённая кровью река', 'Владычицей синих мундиров врага.', 'Припев:', 'Эх! Знал бы, не глупил,', 'Что полковник к ней туда ходил.', 'В строю бы песни пел -', 'Это делать лучше всех умел,', 'Лучше всех умел, лучше всех умел, лучше всех', 'Что за любовью своею бежал,', 'Пал под военный я трибунал.', 'Дулам мушкетов я песни пел,', 'Взявшим судьбу мою на прицел.', 'Думал, просто слегка попугают,', 'Мимо, в воздух постреляют.', 'Но на дыбы офицерский встал конь,', 'На поражение открыли огонь.', 'Эх! Знал бы, не глупил,', 'Что полковник к ней туда ходил.', 'В строю бы песни пел -', 'Это делать лучше всех умел.', 'Падает в сумерках мокрый снег,', 'Прошлое позабыто навек.', 'Среди развалин монастыря', 'Мрачно скитается тень моя.', 'Господи, смилуйся, помоги!', 'Даже свои мне теперь враги!', 'Стала любимая мне чужой.', 'Духи и призраки лишь со мной.', 'Припев:', 'Эх! Знал бы, не глупил,', 'Что полковник к ней туда ходил.', 'В строю бы песни пел -', 'Это делать лучше всех умел,', 'Лучше всех умел, лучше всех умел, лучше всех']"
Деревенские ребята,"['D5', 'E5', 'A', 'Hm', 'F#m', 'E']",974,2,03.11.2021,https://amdm.ru/akkordi/knyazz/186931/derevenskie_rebyata/,"['x4', '', 'Деревенские ребята то, что надо; то, что надо:', 'По ночам на дискотеке, по утрам коровье стадо', 'Мы пасём, мы пасём, мы пасём.', 'И во всей округе знаем обо всём,', 'И во всей округе знаем обо всём.', 'Клим и Данила, от Дона до Нила', 'Не знает никто этих классных ребят,', 'А всё потому, что, как это не мило,', 'Прославиться парни отнюдь не хотят!', 'А зачем нам слава, когда Дуня есть и Клава?', 'А зачем нам слава, когда Дуня есть и Клава?', 'А зачем нам слава, когда Дуня есть и Клава?', 'А зачем нам слава, когда Дуня есть и Клава?', 'Сами не свои порою до веселья, до веселья;', 'Мы рукам, ногам покоя не даём и без сомненья -', 'Не найти никого лучше нас!', 'Кто-то пиво пьёт, а мы, конечно - квас,', 'Кто-то пиво пьёт, а мы, конечно - квас.', 'Клим и Данила, от Дона до Нила', 'Не знает никто этих классных ребят,', 'А всё потому, что, как это не мило,', 'Прославиться парни отнюдь не хотят!', 'А зачем нам прославляться, лучше тряпки жечь, смеяться?', 'А зачем нам прославляться, лучше тряпки жечь, смеяться?', 'А зачем нам прославляться, лучше тряпки жечь, смеяться?', 'А зачем нам прославляться, лучше тряпки жечь и смеяться?']"
Джокер - Карта судьбы,"['Am', 'Dm', 'E', 'F', 'G', 'C']",11896,34,25.05.2016,https://amdm.ru/akkordi/knyazz/141598/dzhoker_karta_sudbi/,"['Проигрыш:', '}x4', 'Мог быть обычным человеком, только дядя удружил:', 'Не только жизнь свою бездарно он прожил,', 'Но и со мною злую шутку совершил.', 'Своим проклятым талисманом безрассудно наградил', 'И мой дальнейший путь он предопределил,', 'А сам позорно сдался – хмель его сгубил.', 'Джокер – моё клеймо и моё призвание,', 'Так уж суждено: в глубине сознания', 'Прячется зловещее создание и ждёт,', 'Когда его черёд действовать придёт.', 'Проигрыш:', '}x3', 'С тех давних пор в моей душе живёт безудержный игрок,', 'Во мне слились в одно: удача и злой рок.', 'Кому-то – славный куш, по ком-то – некролог.', 'Джокера грим, что возникает на моём лице порой,', 'Мне с каждым разом всё труднее смыть водой.', 'Во власти злого духа меркнет разум мой.', 'Джокер – моё клеймо и моё призвание,', 'Так уж суждено: в глубине сознания', 'Прячется зловещее создание и ждёт,', 'Когда его черёд действовать придёт.', 'Проигрыш:', '}x3', 'Джокер – моё клеймо и моё призвание,', 'Так уж суждено: в глубине сознания', 'Прячется зловещее создание и ждёт,', 'Когда его черёд действовать придёт.']"
Джокер: Начало,"['A#', 'Gm']",4367,1,05.11.2015,https://amdm.ru/akkordi/knyazz/127208/dzhoker_nachalo/,"['Intro:', '|', 'Всю жизнь в погоне за удачей', 'Не смог сыскать себе покой,', 'Себя отдал ли став богаче', 'Азартным играм дядя мой.', 'Когда на свет я появился,', 'На счастье бросив в колыбель', 'Мне карту с джокером и спился,', 'Сев окончательно на мель.', 'Бездумно заклеймил, бездарно', 'Младенца символом игры,', 'Той, что несла ему коварно', 'Лишь только горестей дары.', 'С годами облик мой менялся -', 'Коварны выходки судьбы.', 'Напрасно я сопротивлялся', 'Во мне жил джокер с той поры.']"
Дом манекенов,"['Am', 'Em', 'F', 'G', 'E']",33040,91,22.08.2015,https://amdm.ru/akkordi/knyazz/121523/dom_manekenov/,"['Вступление:', 'Куплет 1:', 'Память вновь подвела', 'Все забыл я, плохи дела', 'Каждый день жду гостей', 'Только нет от них вестей', 'В своем доме вижу лишь одних', 'Манекенов', 'Время замерло как замерли они', 'Припев:', 'Не пойму почему манекены вокруг', 'Я теряюсь в догадках, а там за окном', 'Толи вымерли все неожиданно вдруг,', 'То ли люди обходят невзрачный мой дом', 'Куплет 2:', 'Кем я был, кем я стал', 'Сам себе ответ не дал.', 'Что в душе прячет мрак', 'Одиночество мой враг.', 'Кажется порой непросто так', 'Вдруг из тьмы себе я посылаю знак', 'Припев:', 'Не пойму почему манекены вокруг', 'Я теряюсь в догадках, а там за окном', 'Толи вымерли все неожиданно вдруг,', 'То ли люди обходят невзрачный мой дом', 'Припев:', 'Не пойму почему манекены вокруг', 'Мое время крадет время творческих мук', 'Иногда снится мне, что я создал их сам', 'И что люди они, но не верю я снам', 'Манекены смеются, танцуют, грустят', 'Что из старого дома устроил музей', 'И хоть все они так добродушно глядят', 'Не заменят живых, настоящих друзей!']"
Дом нечисти,"['Bm', 'C#', 'Em', 'F#', 'D', 'E', 'G', 'A', 'C#m', 'F#m', 'G#']",4611,3,06.11.2015,https://amdm.ru/akkordi/knyazz/127253/dom_nechisti/,"['Intro:', 'Грустно было, псина выла где-то во дворе.', 'Бабка деда матом крыла, надоело мне', 'Это слушать - сел покушать, плеер нацепил;', 'В этом доме вынут душу, всех бы перебил!', 'Коммуналка перепалка - жизни никакой:', 'То привяжется русалка, а то домовой!', 'То кикимору увидишь или упыря!', 'Если в доме кони двинешь - всем до фонаря!', 'Припев:', 'Год от года перемены никакой!', 'Что за мода нарушать чужой покой?', 'Вот забота, каждой ночью напролёт', 'Меня кто-то достаёт; достаёт!', 'Всем неймётся, дом трясётся, мечутся жильцы,', 'А в подвале, мне сдаётся - воют мертвецы!', 'Не хожу я до колодца не приняв 100 грамм!', 'Водяной как засмеётся, схватит - и ты там!', 'Припев:', 'Год от года перемены никакой!', 'Что за мода нарушать чужой покой?', 'Вот забота, каждой ночью напролёт', 'Меня кто-то достаёт; достаёт! достает', 'В Сивку-бурку - я не верю, как и в Горбунка;', 'Ни в Ивана, ни в Емелю, ни даже в Колобка!', 'Да какие, к чёрту сказки, когда рядом тут', 'Эти мерзкие заразки жизни не дают!?', 'Эти мерзкие заразки жизни не дают!', 'Эти мерзкие заразки жизни не дают!']"
Дурак,"['Dm', 'G', 'F', 'Gm', 'A', 'A#', 'Am', 'C5']",2356,4,27.01.2021,https://amdm.ru/akkordi/knyazz/180188/durak/,"['[Вступление]:', 'x2', 'x4', '2:--3----3--5-6-5p6h5-3-|', '3:-----5----------------|', '[Куплет 1]:', 'Не играй со мной, дух лесной, не надо!', 'Снова слышу зов я со дна пруда.', 'В том моя беда, что от её я взгляда', 'Стал таким, каким не был никогда.', '[Припев]:', 'Эх, дурак, ступай покайся', 'И  к пруду тропу забудь.', 'Говорил себе я: «Справься', 'С этой мукой как-нибудь».', '[Проигрыш]:', 'x4', '2:--3----3--5-6-5p6h5-3-|', '3:-----5----------------|', '[Куплет 2]:', 'Потерял себя, нет душе покоя.', 'На круги своя  жизнь мне не вернуть.', 'Возвращаюсь я в лес ночной порою.', 'К тёмной красоте ведёт лишь тёмный путь.', '[Припев]:', 'Эх, дурак, ступай покайся', 'И  к пруду тропу забудь.', 'Говорил себе я: «Справься', 'С этой мукой как-нибудь».', 'Эх, дурак, ступай покайся', 'И  к пруду тропу забудь.', 'Говорил себе я: «Справься', 'С этой мукой как-нибудь».', '[Кода]:', 'x3']"
Дуэлянт,"['F#m', 'A', 'Bm', 'C#', 'E', 'D']",8697,10,01.12.2015,https://amdm.ru/akkordi/knyazz/129138/duelyant/,"['Способен один разящий кинжал', 'Вонзаться в мундир как тысячи жал', 'Танцующий бог бьет наверняка', 'Мое почтение я мастер клинка', 'В удачу я верил, страха не знал', 'Побед на дуэлях я не считал', 'Меня возбуждал звенящий металл', 'К нему особые я чувства питал', 'Скажите мне возможно ли', 'Остановить бросок змеи', 'Только один будет в бою', 'Шансы я его ловлю', 'Смерти я каждый раз говорю - не сейчас!', 'Сударь, ваше время делать ход', 'Может быть вам повезет,', 'Но думаю, что нет', 'На всякую дерзость готов', 'Дать шпагой достойный ответ', 'Движения мои изящно легки', 'И сталь - продолжение твердой руки', 'Дуэли меня так увлекли,', 'Что я дерусь запретам всем вопреки', 'И в честном бою один на один', 'Я жару даю, я не победим', 'Азарт я ловлю в опасной игре', 'И гнева праведного благо во мне', 'Скажите мне возможно ли', 'Остановить бросок змеи', 'Только один будет в бою', 'Шансы я его ловлю', 'Первый выпад был игрой', 'За ним последует другой', 'Соколиным оком вижу цель', 'И превращаю дуэль в смертельную игру', 'Не беспричинно сыскав', 'Славу сатиры в миру', 'Сударь, ваше время делать ход', 'Может быть вам повезет,', 'Но думаю что нет', 'На всякую дерзость готов', 'Дать шпагой достойный ответ', 'Дать шпагой достойный ответ', 'Дать шпагой достойный ответ']"
Жопчик,"['Am', 'G', 'F', 'Em', 'Dm', 'E']",844,2,31.10.2021,https://amdm.ru/akkordi/knyazz/186854/zhopchik/,"['x2', 'Как вас зовут мадмуазель?', 'Вы превосходны, я отнюдь не льщу!', 'Есть у меня сегодня цель:', 'Я вас за кое-что схватить хочу!', 'Вино и джаз - я сам себя от скуки спас.', 'И в этот час глаза мои глядят на вас.', 'Со сцены вы мне улыбнулись в третий раз.', 'И знаю я, вы сладкая, как спелый ананас.', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик', 'Я знаю много разных дам,', 'Но лишь одна из них покоя не дает,', 'Да будет же известно вам,', 'Что ваша кое-что меня с ума сведёт.', 'Вино и джаз - я сам себя от скуки спас.', 'И в этот час глаза мои глядят на вас.', 'Со сцены вы мне улыбнулись в третий раз.', 'И знаю я, вы сладкая, как спелый ананас.', 'x2', 'Жопчик, хэй, жопчик, хэй, жопчик, хэй, жопчик, хэй', 'Жопчик, хэй, жопчик, хэй, жопчик, хэй, жопчик, хэй', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик', 'Жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик, жопчик']"
Зазеркалье,"['F#m', 'Bm', 'Em', 'D']",10573,9,18.08.2015,https://amdm.ru/akkordi/knyazz/121260/zazerkale/,"['Я знал, что ты в ту ночь не умерла —', 'Тебя забрали зеркала.', 'Такие дела.', 'Я не спроста так думал по ночам,', 'Подсвечник ставил к зеркалам,', 'Ты шла к свечам.', 'Уо — о — о — о — о — о — о — о — у', 'Уо — о — о — о — о — о  —  у', 'Хотел тебя рукой коснуться, но', 'Ладонью трогал лишь стекло,', 'Трогал стекло.', 'Не слышал голос — по губам читал,', 'Но только ничего, увы,', 'Не разбирал.', 'Опять ты смотришь на меня из Зазеркалья,', 'Окно в твой новый мир — отшельником лечу.', 'Ни с кем на свете не делился нашей тайной,', 'Лишь наедине с тобою жизнь моя течет.', 'Мир Зазеркалья роковой сюжет', 'Из тьмы воссоздал для моих', 'Преклонных лет.', 'Седел мой волос, а твои года', 'Из жизни вычитались раз', 'И навсегда.', 'Пусть время жизни книгу всю перелистает,', 'Близки, как прежде, мы невзгодам вопреки.', 'Пред зеркалом старик подсвечник вновь поставит,', 'Ребенок прибежит смотреть на огоньки.']"
И вот он Я!,"['Am', 'Em', 'Dm', 'F', 'G', 'C5', 'G5', 'F5', 'C']",1568,1,31.10.2021,https://amdm.ru/akkordi/knyazz/186869/i_vot_on_ya/,"['x2', 'Она смотрела куда-то вдаль', 'Сквозь открытое окно.', 'В глазах застыла печаль,', 'Она не чувствовала радости так давно.', 'По небу птичка пролетела,', 'И в этот миг входная дверь', 'С ужасным грохотом слетела,', 'С давно-давно не смазанных петель.', 'И  вот он я застыл у входа!', 'Со мной пришла её свобода.', 'И улыбаясь благородно', 'Сказал: «Отныне ты свободна!»', 'Коварным безумцем был её муж,', 'Подло девушкой он завладел.', 'Увёз её в глушь,', 'Своей ревностью терзал ей душу, как хотел.', 'Он даже тень её пытался,', 'Напившись рома, пристрелить.', 'Я ночью в дом его прокрался,', 'Чтобы мерзавцу отомстить.', 'И  вот он я застыл у входа!', 'Со мной пришла её свобода.', 'И улыбаясь благородно', 'Сказал: «Отныне ты свободна!»', 'x2', 'С5', 'Свободна! Хааа...', 'А где мой муж? Я его кокнул!', 'Кокнул?  Да!', 'Молодец.   Пойдём со мной!', 'Пойдём.', 'Ха-ха-ха-ха-ха-ха-ха...']"
Казнь шута,"['Dm', 'A#', 'C', 'F', 'G', 'Gm']",7083,8,17.02.2015,https://amdm.ru/akkordi/knyazz/107570/kazn_shuta/,"['Вступление:', 'Кровь давно дождями смыло,', 'Рухнул старый эшафот.', 'Только помнит всё, что было', 'В этом городе народ:', 'Лютый заговор свершился', 'В стенах здания суда,', 'Городок лишился своего шута.', 'На устах одно у всех -', 'То, что шут похитил смех.', 'С', 'С', 'Время идёт, только правда все также слепа, слепа', 'С', 'Снова найдет для распятия жертву толпа.', 'С чем теперь они остались?', 'Страх и больше ничего!', 'В ложь поверив, отказались', 'От героя своего.', 'Кто бросал в шута камнями,', 'Нынче сам тому не рад:', 'Презрительный ночами', 'Им сниться его взгляд.', 'Рассмеявшись над толпой,', 'Он смех забрал во тьму с собой.', 'С', 'С', 'Время идёт, только правда все также слепа, слепа', 'С', 'Снова найдет для распятия жертву толпа.']"
Карл,"['Em', 'Am', 'D', 'C', 'G', 'B7', 'Bm']",4177,7,28.03.2016,https://amdm.ru/akkordi/knyazz/137552/karl/,"['Должно быть, выглядит все это очень странно', 'Смеюсь над тем, что совершил совсем недавно', 'Мерзавца Карла я убил на старой даче', 'Клянусь, он сам того хотел, а я тем паче', 'Он, напиваясь, вел себя довольно скверно', 'И в его речи было брани чрезмерно', 'Он много лгал, и это было очевидно', 'Он полагал, что людям этого не видно', 'И я угрюмый шел обратно', 'И все мне было не приятно', 'Вверху, раскачивая кроны', 'Так издевательски вороны', 'Кричали: ""Карл!..""', 'Кричали: ""Карл!..""', 'Едва пытался я призвать его к порядку', 'В ответ он бросил мне в лицо свою перчатку', 'И лишь до той поры я с ним тянул резину', 'Пока не обесчестил он мою кузину', 'Наутро с Карлом мы скрестили свои шпаги', 'Он дрался подло, и в нем не было отваги', 'Остервенел и начал сходу он кидаться', 'Без колебаний продырявил я мерзавца', 'И я угрюмый шел обратно', 'И все мне было не приятно', 'Вверху, раскачивая кроны', 'Так издевательски вороны', 'Кричали Карл...', 'Кричали Карл...']"
Клоун,"['Hm', 'G', 'Em', 'F#']",4759,5,05.01.2015,https://amdm.ru/akkordi/knyazz/103574/kloun/,"['Вступление:', 'Дул мокрый ветер, и падал снег.', 'Вдоль по бульвару шёл человек.', 'Над ним смеялись со всех сторон:', 'Был разрисован, как клоун он.', '""Какой ты шуткой потешишь нас?!"" -', 'Ему кричали в который раз,', 'А он не слушал, он просто шёл,', 'В свои раздумья был погружён.', 'Я жив каждый час,', 'И хожу я по белу свету.', 'Но для всех для вас,', 'Что я есть, что меня нету!', 'Что спотыкается он без конца?', 'Под этим гримом, может, нет лица?', 'Что он задумал, кто его поймёт,', 'Ведь взгляд, отнюдь, не радость выдаёт.', 'С моста он в речку спрыгнул вдруг,', 'На водной глади остался круг -', 'Тот грим, который с лица сошёл,', 'Гримасой жуткой расплылся он.', 'Я жив каждый час,', 'И хожу я по белу свету.', 'Но для всех для вас,', 'Что я есть, что меня нету!']"
